step,regime,num_layers,modulus,train_fraction,d_model,num_heads,d_mlp,parameter_count,hidden_matrix_count,initialization_scheme,train_loss,train_accuracy,test_loss,test_accuracy,elapsed_seconds,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step
0,stable_muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,5.319661617279053,0.008355091325938702,5.3094072341918945,0.008725808002054691,0.18513033300405368,39.19602115614253,123.10922682798059,6.175757884979248,nan,nan,nan,nan,nan,0,0,0,
100,stable_muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,0.3914358913898468,0.8898172378540039,26.062509536743164,0.007159637752920389,11.529039916000329,72.59662187689884,111.96918493334847,6.0758771896362305,9.999017332469101,0.7058031472477008,2.693772792816162,1.8188142763785202,0.012464182451367378,0,0,0,
200,stable_muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,2.059075355529785,0.6851174831390381,39.175052642822266,0.005705336108803749,22.694117083010497,88.93186836862854,101.25154271956144,5.824603080749512,75.30332447762896,8.180289692156649,4.906781196594238,1.864595357006187,0.014554820954799652,0,0,0,
300,stable_muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,7.062437057495117,0.12114882469177246,15.683927536010742,0.00514598935842514,33.82850120801595,99.66536812974323,91.46132811319603,5.1751203536987305,48.36418502643957,3.030805553807115,13.391112327575684,1.8547554246899398,0.015680920332670212,0,0,0,
400,stable_muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,7.349628925323486,0.052219320088624954,10.891915321350098,0.0055934670381248,44.98486366600264,105.8441226364449,82.59121189059101,4.545401096343994,54.48655475312432,5.644720711680446,9.442155838012695,1.8754975462649306,0.02017798274755478,0,0,0,
500,stable_muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,2.712435722351074,0.357441246509552,11.449968338012695,0.0011186933843418956,56.11553004101734,112.96916098249194,74.62425517319221,4.166818141937256,30.97144254603342,3.29197628392397,6.501854419708252,1.8507072513742446,0.018241992220282555,0,0,0,
600,stable_muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,0.42867186665534973,0.91253262758255,46.59872817993164,0.0007830853573977947,67.29281612500199,115.55071284633031,67.50417476414718,4.016485691070557,12.032819103825952,1.638144002043018,3.6981239318847656,1.8566494474255808,0.015983669087290764,0,0,0,
700,stable_muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,0.6258721351623535,0.9211488366127014,84.56529998779297,0.0014543014112859964,78.45351683301851,111.32122325904655,61.06231725034675,3.8782665729522705,18.78830462399571,2.190831891641587,9.525461196899414,1.733239629836504,0.015567111782729626,0,0,0,
800,stable_muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,0.35032036900520325,0.9443864226341248,80.99778747558594,0.0011186933843418956,89.5820685000217,107.29352230604603,55.235807503537906,3.7365102767944336,14.143475936155491,3.2558493129803576,6.7453179359436035,1.7729369146129632,0.01671789586544037,0,0,0,
900,stable_muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,2.5810744762420654,0.7804177403450012,96.50341033935547,0.0011186933843418956,100.81704841600731,102.60741518753761,49.99417124416283,3.5638680458068848,40.203495762044746,11.634832351103988,16.87400245666504,1.770566072149546,0.016290439292788506,0,0,0,
1000,stable_muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,1.1517550945281982,0.9083551168441772,132.7315216064453,0.002461125375702977,111.91822570801014,110.42351262882939,45.258971776213336,3.32948637008667,67.98843916450335,33.23886933080224,13.522558212280273,1.4406411600962588,0.01718345284461975,0,0,0,
1100,stable_muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,1.0007139444351196,0.9391645193099976,178.93846130371094,0.0019017787417396903,123.04115787500632,104.50682590071037,40.96147304149203,3.158127546310425,52.208786935357004,16.208103128781755,20.787220001220703,1.503304607112924,0.016581956297159195,0,0,0,
1200,stable_muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,6.389348983764648,0.7819843292236328,189.44139099121094,0.00257299467921257,134.126514958014,101.11628648674957,37.12770506452126,2.9711830615997314,96.37657962024045,12.71833736422404,42.38894271850586,1.2411536695414274,0.011879357509315014,0,0,0,
1300,stable_muon,4,113,0.3,128,4,512,815872,16,nested_depth_one_shared_v2,6.509011745452881,0.8532637357711792,329.6637878417969,0.004474773537367582,145.207484958024,96.0204515004719,33.88934890098351,2.591665506362915,201.7539540944837,34.56222602589369,88.17520141601562,1.2843961233477916,0.012261103838682175,0,0,0,
